model_id,linear_probe,weight_decay,model_type,use_adam,learning_rate,val_id_acc,test_id_acc,num_edges,total_nodes,middle_layer_entropy,longest_path_to_logits,circuit_instability,normed_circuit_instability,weighted_shortcut_score,early_to_deep_edge_importance,path_depth_entropy,logit_contribution_ratio_deep_vs_shallow,middle_layer_score_ratio,std_entropy_across_layers,logit_contribution_peak_layer,object_edge_score,bg_edge_score,object_vs_bg_diff_mean,algebraic_connectivity,spectral_gap,graph_energy,laplacian_energy,normed_laplacian_energy,laplacian_spectral_entropy,modularity,community_size_variance,avg_clustering,kirchhoff_index,avg_path_length,path_redundancy,effective_path_depth,node_importance_entropy,avg_betweenness,spectral_radius,avg_edge_flow_centrality,edge_score_gini,normed_algebraic_connectivity,normed_spectral_gap,normed_graph_energy,normed_kirchhoff_index,normed_avg_path_length,normed_avg_betweenness,normed_spectral_radius,attention_mlp_ratio,layerwise_score_variance,weighted_path_depth,layerwise_score_entropy
20,False,0.0,ViT-B_16-scratch,False,0.009,0.7378048300743103,0.5612499713897705,137,49,6.9348297491779105,3,5.180699247375742e-08,130078528.0,15.31147289276123,0.0,1.3176298141479492,0.732812992570766,0.2174593210220337,1.6403136253356934,6,0.004081574734300375,0.004257537890225649,-0.04129360686501882,0.00019160058247261658,-3.067237586429038e-05,0.000992879299440357,1357.4335164581682,4.103040009018589,2.920262413532695,0.31107804565218233,29.555555555555557,0.06302814237941418,3957585.3713101055,0.0004687629936077948,4527,0.7151550150236311,2.5100998319509724,0.009869373281227384,0.025225070068490327,0.005807361704371671,0.5202996055612592,0.0009417398973739269,-0.00015075840486750277,0.023986381645248647,805185.8778794145,0.002304026457335765,0.009869373281227384,0.12398425096835916,0.39909228682518005,0.00047937437193468213,4.685878753662109,2.810790538787842
21,False,0.01,ViT-B_16-scratch,False,0.009,0.7235772013664246,0.5587499737739563,131,47,6.9370932461675725,3,8.594390266125629e-08,232314768.0,14.725894927978516,0.0001469264825573191,1.0878626108169556,0.8418573657152122,0.21005864441394806,1.6802599430084229,18,0.0056681642308831215,0.005973444320261478,-0.04466469316261111,0.00021064964989622989,-9.18813814562239e-06,0.0011573742968605744,1349.9906703254696,4.17894819516706,2.9070746651342563,0.31163176821790206,27.555555555555554,0.042594631448846454,3729098.384274357,0.00038988217433871895,4523,0.719971519688849,2.531119920332613,0.008860108952615891,0.026528235267588622,0.005260414372347766,0.5610175279506259,0.0009583565420103554,-4.1801687509014835e-05,0.023955574057808644,819667.0348858585,0.001773779997283336,0.008860108952615891,0.12069095808200311,0.3666633069515228,0.0005136953550390899,4.626605987548828,2.790266275405884
22,False,0.0,ViT-B_16-scratch,False,0.009,0.7174796462059021,0.5525000095367432,143,47,6.960605964861013,3,3.0709376375170905e-08,77113760.0,17.484193801879883,0.00016434908320661634,1.0440102815628052,0.5113707912321285,0.220017209649086,1.6732680797576904,10,0.007036139257252216,0.00739578902721405,-0.04404482561085773,0.0001831129143784546,-5.5015728611461205e-06,0.0008437368415965742,1504.388062061412,3.2983652572554867,2.9059925474791717,0.2928872122367687,20.25,0.08625843565445963,4207817.453083169,0.0003588000752585772,12944,0.7859426384429956,2.6030876966906082,0.011131668208448967,0.020183403270195008,0.006249434873029012,0.5504023970158635,0.001180018665163656,-3.5453348208024224e-05,0.03503860560885445,652960.6133802605,0.0023121842034342015,0.011131668208448967,0.1300661536229938,0.39350181818008423,0.0007894360460340977,5.386744022369385,2.8235414028167725
23,False,0.01,ViT-B_16-scratch,False,0.009,0.7093495726585388,0.5399999618530273,125,44,6.9338297274565335,3,2.2521311038303793e-08,54807524.0,17.42790412902832,0.0,1.2777419090270996,0.6133123364216196,0.2136515974998474,1.6955944299697876,6,0.003474260214716196,0.0036452256608754396,-0.0425129304646705,0.0001192749346915261,-6.1971049518454e-05,0.0005512132146256502,1330.2172179789586,3.3357405848747472,2.8116322787569437,0.30049544702848496,81.0,0.08203587848693321,4538728.991260438,0.0002881366052617069,5029,0.6697063226240005,2.4306552383133413,0.008267894895801872,0.01793644999194268,0.005154368982929429,0.5585682288956589,0.0009387686560390768,-0.0004877510980441841,0.034145887467891836,576666.6759124622,0.002267816077659879,0.008267894895801872,0.1411711271885165,0.39312490820884705,0.0007370651583187282,5.2076416015625,2.821899890899658
24,False,0.0,ViT-B_16-clip-openai,False,0.01,0.952235758304596,0.8899999856948853,136,50,7.515917724280025,4,2.1378041310526896e-06,5965900288.0,13.841886520385742,0.003127428994048387,1.3656295537948608,33.2526883527108,0.1544943004846573,1.8516231775283813,22,0.07932887971401215,0.07845868915319443,-0.018369917262269136,0.0005927879453200813,-0.0004422593929578919,0.01830913342160733,1286.0859223850407,6.405415384252446,2.997776601356958,0.43155707447102426,54.88888888888889,0.03156588606159668,946116.8988480662,0.0018324744624171254,48472,2.012945084695626,3.1443089627300504,0.01558673469387755,0.1158040321748948,0.008863892013498314,0.564385947191407,0.00045533945802962435,-0.0003397136524372307,0.010802882324235747,1231711.1601644424,0.0014075824874453247,0.01558673469387755,0.08895279720763768,0.05194948613643646,8.307051757583395e-05,3.785770893096924,3.045543909072876
25,False,0.01,ViT-B_16-clip-openai,False,0.01,0.9451219439506532,0.8650000095367432,138,49,7.633226214675742,3,7.970948558977398e-07,2393385728.0,13.279520988464355,0.0013382880133576691,1.1078877449035645,11.924965622493623,0.1906203031539917,1.8482720851898193,22,0.048262253403663635,0.047820910811424255,-0.010994337585652264,0.00030795006771755403,-3.757092858822574e-05,0.005538198896406884,1293.7876887514049,5.859186054218101,2.8563290079940327,0.33530158403316934,72.25,0.020410095233954477,2112104.1875690618,0.0009102745873545301,4756,1.5038385597864639,3.0122612423561064,0.00814155449413808,0.06357781558406851,0.005118912644422849,0.5494820797764286,0.00036005958602499554,-4.392845964308427e-05,0.007571060760138485,1806430.487238342,0.00106430598167876,0.00814155449413808,0.07433608679638096,0.1071619838476181,5.2671002777060494e-05,4.061739444732666,3.0668351650238037
26,False,0.0,ViT-B_16-clip-openai,False,0.01,0.9552845358848572,0.8824999928474426,126,45,7.626415998607837,3,9.132818945545296e-07,2472019200.0,13.35251235961914,0.0008738241740502417,1.1135107278823853,14.07130616723434,0.1769256442785263,1.8697819709777832,22,0.05335669219493866,0.052841879427433014,-0.009726137823414303,0.0003685985268009619,-4.362252461238603e-05,0.006725697387810866,1152.8470378401046,5.86117848144163,2.7729381740521006,0.3571681907648689,88.66666666666667,0.020387508783301634,1603389.8837547165,0.000996903409888013,5079,1.7319753594685507,2.8623768720762577,0.01146347192858821,0.06977647082342836,0.006968810916179337,0.5927543590670015,0.0004343152995238575,-5.139990371782186e-05,0.009337710398535686,1360779.0136449942,0.0011746395473377874,0.01146347192858821,0.08221679422206374,0.5195920467376709,6.377023964887485e-05,3.592130422592163,3.080348491668701
27,False,0.01,ViT-B_16-clip-openai,False,0.01,0.931910514831543,0.8224999904632568,124,49,7.437837921031288,4,1.1835460327347391e-06,2785318656.0,12.892242431640625,0.001997583080083132,1.3372145891189575,23.303744013439555,0.17351007461547852,1.8367520570755005,22,0.05794481933116913,0.058003656566143036,-0.021459764209615484,0.00061289958568876,-0.00027105190238379737,0.01077318139120031,1133.3266017588735,6.413422733627135,3.024041321230011,0.4452646183909819,20.22222222222222,0.041913070982063566,1103810.3408483202,0.0017140262847978917,11267,1.6743508158286642,2.9493995429034054,0.012809379070777246,0.07926455005468808,0.007908883892540068,0.5502400919637536,0.0005796143224966762,-0.000256331661158202,0.009634818493051525,1167198.3831286272,0.0016209411938058222,0.012809379070777246,0.074959862970122,0.01678456738591194,5.549211346078664e-05,4.229185104370117,3.0326333045959473
28,False,0.0,ViT-B_16-clip-openai,False,0.03,0.9288617372512816,0.8512499928474426,98,41,7.661700947940677,5,3.4149754810641753e-06,6425766400.0,11.044509887695312,0.002585632086265832,1.4576387405395508,23.972949899419593,0.1828732043504715,1.7998484373092651,22,0.06177827715873718,0.061392564326524734,-0.017211194255716634,0.0007370056379686921,-0.0002487718722255138,0.013442352150172521,858.3515091869019,5.909211130847326,2.967877394512208,0.4608775084318511,3.6875,0.05376727309338132,585621.7911731389,0.0028048854680425236,2892,1.9072240918612795,3.0284084518933962,0.016838649155722325,0.08536105052706192,0.010742086144265691,0.5052186938743403,0.00037007016626176636,-0.0001249149958301369,0.003389235858762653,1166283.0501943168,0.001408407721908411,0.016838649155722325,0.042862057419667046,0.3682069182395935,2.4457618565065786e-05,4.078238487243652,3.0378577709198
29,False,0.01,ViT-B_16-clip-openai,False,0.03,0.8810975551605225,0.7212499976158142,134,46,7.5520183804786605,3,1.8260225260746665e-06,2450901760.0,10.508634567260742,0.011938431882299483,1.2841559648513794,14.296540242404676,0.17268192768096924,1.8645049333572388,22,0.03753069415688515,0.03820188343524933,-0.03501011096239012,0.001425942778329241,-0.00014721771680133167,0.027433046369684157,1352.2096217491069,5.035451450792654,3.069102353602856,0.46280643004542044,37.55555555555556,0.044890394308797064,478902.91709794896,0.0028700106125999834,1952,1.6306073218922392,2.5578481675635816,0.009134826526130875,0.1069111315115746,0.005344927536231884,0.5358384919784671,0.0007625327769949352,-7.872571618358886e-05,0.007844890583132617,895552.513119418,0.0015347580832051303,0.009134826526130875,0.05717146958452883,0.7930843234062195,1.700486427580472e-05,6.703151226043701,2.8417506217956543
