model_id,linear_probe,weight_decay,model_type,use_adam,learning_rate,val_id_acc,test_acc_0,test_acc_1,test_acc_2,test_acc_3,test_id_acc,num_edges,total_nodes,middle_layer_entropy,longest_path_to_logits,circuit_instability,normed_circuit_instability,weighted_shortcut_score,early_to_deep_edge_importance,path_depth_entropy,logit_contribution_ratio_deep_vs_shallow,middle_layer_score_ratio,std_entropy_across_layers,logit_contribution_peak_layer,object_edge_score,bg_edge_score,object_vs_bg_diff_mean,algebraic_connectivity,spectral_gap,graph_energy,laplacian_energy,normed_laplacian_energy,laplacian_spectral_entropy,modularity,community_size_variance,avg_clustering,kirchhoff_index,avg_path_length,path_redundancy,effective_path_depth,node_importance_entropy,avg_betweenness,spectral_radius,avg_edge_flow_centrality,edge_score_gini,normed_algebraic_connectivity,normed_spectral_gap,normed_graph_energy,normed_kirchhoff_index,normed_avg_path_length,normed_avg_betweenness,normed_spectral_radius,attention_mlp_ratio,layerwise_score_variance,weighted_path_depth,layerwise_score_entropy
120,False,0.01,ViT-B_16-mae,False,0.01,0.9430893659591676,0.96999997,0.78499997,0.77,0.97499996,0.8763919294131861,74,33,7.210277159945324,4,2.033851387750474e-06,3128532480.0,10.59815788269043,0.0025712887290865183,1.5533256530761719,40.290494263018275,0.1631941795349121,1.7727643251419067,20,0.10374000668525696,0.10330520570278168,-0.007529344856456714,0.001141398174276554,-0.0001914372207310385,0.06799228684344097,1504.2614540446443,6.293805349031413,3.1107808924939158,0.4931487411094756,8.559999999999999,0.02534675993400201,351868.94807039853,0.004498488217106332,50888,1.819008638196397,3.127346942481341,0.014251207729468597,0.17150985616263187,0.007469623773971601,0.524883503710974,0.00048301151115735883,-8.101149802848691e-05,0.012175877145209058,831496.9112205185,0.0019036490556779476,0.014251207729468597,0.0725787342587199,0.49006202816963196,0.0005129232304170728,3.7283456325531006,2.9996373653411865
121,False,0.0,ViT-B_16-mae,False,0.01,0.9491869807243348,0.965,0.84499997,0.81,0.98499995,0.903337918579565,63,30,7.2883128529151735,5,1.804327098398062e-06,2627354880.0,10.221917152404785,0.013602298218756914,1.475399374961853,56.45821002680988,0.17530174553394318,1.7722091674804688,22,0.10650365054607391,0.10536602884531021,-0.0069068051791628835,0.0009208698877970341,-0.000555903463876008,0.05297898873995945,1682.2596847094933,6.685610181636179,3.2247872539658524,0.4702102293435393,10.959999999999999,0.021017970465595632,401600.58808674937,0.00439000100536481,8828,1.6968912881485572,3.294141566470662,0.012990302503980315,0.15468617961460684,0.0065547052154195,0.49619017103389024,0.0003708569703918598,-0.00022387601570620155,0.008592509295949716,997208.9363143104,0.0017679614747666951,0.012990302503980315,0.062295931023299646,0.3341006338596344,0.0004307878261897713,4.058913707733154,3.013546943664551
122,False,0.01,ViT-B_16-mae,False,0.01,0.9380080699920654,0.955,0.74,0.66999996,0.96999997,0.8414057568277529,50,27,7.1730236785482475,4,1.1703499467330403e-06,1789828992.0,10.388073921203613,0.001231015776284039,1.5089627504348755,19.872214635562056,0.16000737249851227,1.8041677474975586,20,0.08359943330287933,0.08310496807098389,-0.011993773834875177,0.00089745161528011,-0.00038440614154640655,0.04639766388727018,1322.1504966203447,6.809386471282199,3.022595612850899,0.4825466396345208,21.1875,0.009717045946021676,501983.3705240371,0.0036359484790790754,12076,1.5255953417051593,3.090977424748332,0.014256347003803063,0.16383176204019606,0.00795559666975023,0.5391802000140812,0.0004535506273211281,-0.00019426969405865398,0.011850196644243374,993286.66244879,0.0018375215655736363,0.014256347003803063,0.08279666063673577,0.37182751297950745,0.0003095576830673963,3.971954822540283,2.9851038455963135
123,False,0.0,ViT-B_16-mae,False,0.03,0.9542682766914368,0.935,0.82,0.85499996,0.98499995,0.886918353852261,58,33,7.257988670642175,5,3.344163133078837e-06,4963302912.0,10.016036987304688,0.0021533737890422344,1.5294926166534424,33.15021177556584,0.16145789623260498,1.8071285486221313,20,0.13977305591106415,0.13815921545028687,-0.010502273044410681,0.0010730653271116023,-0.0005812070245724548,0.11090862236374224,1474.674238861315,7.305743279341711,3.1171589849844357,0.5084425667976237,6.959999999999999,0.02062876059607994,362586.5888790334,0.005060894113745965,39034,1.948302887981868,3.205477278430496,0.016319293674916774,0.2259998552942466,0.008487654320987654,0.5530522509675528,0.00030917229704991367,-0.0001674577666646117,0.009206914997597411,1258453.9198848135,0.0014581482130216457,0.016319293674916774,0.06511522857582526,0.3865661323070526,0.0008343429653905332,3.291329860687256,2.9697611331939697
124,False,0.01,ViT-B_16-mae,False,0.03,0.9268292188644408,0.97499996,0.77,0.57,0.95,0.8475690213669312,64,28,7.196639578518617,5,1.266402591681981e-06,898722432.0,10.468002319335938,0.002356557175517082,1.6469144821166992,42.341787943207954,0.17168961465358734,1.795091152191162,20,0.09080690890550613,0.09061361849308014,-0.010837182177716093,0.0008143258789779259,-0.00046091413975236245,0.1306374941569905,1679.4650700282702,6.619934926448334,2.9208574860372063,0.47688016073887135,19.1875,0.011825914396510002,459057.0335440401,0.004293168809119973,124050,1.3433951505159814,2.8675904965729457,0.017251049355912578,0.2785937840731536,0.0082583380574452,0.6059251515538822,0.0003845290336262071,-0.0002176461409897934,0.029129273177022314,972155.5184066205,0.0020272572447680853,0.017251049355912578,0.1315534769049607,0.6420028209686279,0.0009520318126305938,3.8766651153564453,2.968554973602295
125,False,0.0,ViT-B_16-mae,False,0.03,0.9461382031440736,0.965,0.865,0.635,0.965,0.8895150155333102,71,30,7.295262428786541,4,2.8815952646255028e-06,3286539776.0,10.338638305664062,0.0018960029119625688,1.5474467277526855,49.408395884578304,0.15735545754432678,1.8117308616638184,22,0.1324899047613144,0.13157586753368378,-0.00857904757183461,0.0015552813491051742,-0.0005357571154591594,0.12800650358310003,1898.9741206436065,6.363735318848102,3.0767457148321835,0.48998173816285473,9.040000000000001,0.018806380147173445,296309.89727017726,0.004298156432802707,70542,1.4563716539975375,3.104726291625476,0.014204954260458423,0.24811258416610865,0.006777674992291088,0.581222557974683,0.0005394602983107774,-0.00018583112420531163,0.01540043774578968,854270.943968343,0.0014908458549104146,0.014204954260458423,0.08605959532109915,0.49736759066581726,0.0010171771282330155,3.3990790843963623,3.0065958499908447
126,False,0.01,ViT-B_16-mae,False,0.03,0.9075202941894532,0.945,0.715,0.44,0.94,0.7989748015188126,56,30,7.207050731751531,5,2.5646866106399102e-06,5773177344.0,8.949112892150879,0.0,1.571283221244812,20.746297884147516,0.22511731088161469,1.7493786811828613,20,0.072957344353199,0.07276582717895508,-0.024506432183224264,0.0012406590060803106,-8.064965971619131e-05,0.06174396287656136,1191.2086043323577,8.179498422461922,3.0924539421201382,0.4851938002931552,5.4399999999999995,0.013099049307946684,417593.2109401863,0.0049046634063570505,15447,1.4709178396727323,3.0076904226748993,0.012806429232192414,0.15488029754320032,0.007613031914893617,0.5030583685346035,0.00044804579635379465,-2.912543899799547e-05,0.008052568381598483,1156334.4419880433,0.0017712471945477972,0.012806429232192414,0.055932744654312576,0.3445262908935547,0.00034660057281143963,3.765496253967285,2.888063669204712
127,False,0.0,ViT-B_16-mae,False,0.009,0.9623983502388,0.97499996,0.84,0.755,0.98499995,0.8991896578702105,67,31,7.328994299146371,4,2.039388618868543e-06,2561944064.0,10.885551452636719,0.008387683425098658,1.368021845817566,23.72221996887017,0.16283512115478516,1.8601702451705933,20,0.13908955454826355,0.13774684071540833,-0.0052933167615648235,0.0015707712209030128,-0.00029065750000725147,0.07895243662077533,1633.1200049659121,6.693674678259867,3.0469584447142486,0.45252888423271703,9.440000000000001,0.017834684886024358,335382.0911742822,0.0039006577748469285,53484,1.8779103928089949,3.1273908954503153,0.01473943879124268,0.2149561224003958,0.007500382672585336,0.5461018809961781,0.000602369803575494,-0.0001114632733981043,0.011610904242239725,874560.004801008,0.0014958502056536323,0.01473943879124268,0.08243280312725212,0.322193443775177,0.000588666764087975,3.80776309967041,3.0000734329223633
128,False,0.01,ViT-B_16-mae,False,0.009,0.9430893659591676,0.945,0.78,0.82,0.98999995,0.8719183582844321,64,31,7.2026622751882545,5,2.010426214837935e-06,3563975424.0,10.051047325134277,0.0028061603661626577,1.588578462600708,41.09814984172751,0.1655513197183609,1.7600924968719482,20,0.09543244540691376,0.09512511640787125,-0.010059653645316918,0.001270010078974829,-0.0006915713072764488,0.06839777363426794,1458.4611989733905,6.841897063471376,3.1508748218625553,0.491514432046213,9.36,0.028255658524528538,309449.97799370106,0.005091876129885226,31611,1.6681445249402251,3.1583724748090622,0.01600790513833992,0.1664701392124636,0.008294314381270903,0.49608116603467267,0.0004891741729607419,-0.00026637491633176404,0.010147397320452372,803404.2126564202,0.0019612555349625845,0.01600790513833992,0.0641198775491562,0.49833908677101135,0.0005430466262623668,3.854444742202759,2.990412712097168
129,False,0.0,ViT-B_16-mae,False,0.009,0.9502032399177552,0.965,0.84499997,0.78499997,0.96999997,0.898905746259924,70,32,7.248666983728878,5,2.4607625164208002e-06,4456475136.0,9.628320693969727,0.011473053833469748,1.6865854263305664,43.82434784186361,0.18405334651470184,1.7751647233963013,22,0.10143149644136429,0.10059869289398193,-0.007633391296389505,0.000934495470144779,-0.00018713465233446708,0.06886813157971405,1677.1928005632387,6.963481111083308,3.2906617634342457,0.464592871531983,12.25,0.02080606221935644,534180.7536996852,0.005335891301887517,54971,1.6207963013152382,3.2709287339674136,0.014977422996290922,0.15954800291005272,0.007483304871784192,0.4727540917842325,0.00031895782107446577,-6.387195461717395e-05,0.008022881865332723,1565064.3061593384,0.0018212225644354293,0.014977422996290922,0.05445621141803339,0.3758482336997986,0.00046826302423141897,3.944007396697998,2.9910929203033447
130,False,0.01,ViT-B_16-mae,False,0.009,0.9400405883789062,0.955,0.76,0.695,0.96,0.8508517431826026,60,27,7.245988155368953,4,1.310515131081047e-06,3013131008.0,10.595887184143066,0.0,1.3668334484100342,19.762263945200985,0.16279692947864532,1.7966570854187012,20,0.086515411734581,0.08608739078044891,-0.009679475806311344,0.00035901886694173586,-0.0003211680946386807,0.046626508754393774,1114.723302274801,7.79404322429307,2.952479435860181,0.48360013702926957,20.0,0.010119381478775816,763716.0885917968,0.00377473905483378,10195,1.594298623671639,3.0067068695353956,0.013018424298489054,0.17004626560315844,0.007856444118366349,0.545681423925912,0.00017310091367911292,-0.00015485116953370127,0.010839196217430555,1583980.5710416425,0.0018199900914623868,0.013018424298489054,0.0819877920098061,0.32504788041114807,0.0003296238137409091,4.07546329498291,2.9753732681274414
131,False,0.0,ViT-B_16-mae,False,0.01,0.9623983502388,0.965,0.89,0.76,0.97999996,0.914757503334484,60,32,7.2983720087657975,4,3.773972593990038e-06,4356135936.0,10.02981185913086,0.008079548832029104,1.4236235618591309,26.059129774851947,0.16265477240085602,1.826054573059082,20,0.1295623481273651,0.12800246477127075,-0.011300094825526087,0.0014791383833499293,-0.0006649587626652625,0.09564739488114507,1279.5109979309707,7.418526399601084,3.110117375818043,0.49303475985042433,31.25,0.014095595874236462,348666.20110598754,0.005783711509988168,13045,1.957499818853179,3.1543184889520473,0.012755102040816327,0.22662806181002237,0.007334083239595052,0.5311602323750454,0.00044848771143448366,-0.00020162131881200444,0.008793395656088832,1149921.2796368499,0.0017536719752314063,0.012755102040816327,0.0687156117718016,0.31572267413139343,0.0007160310633480549,3.6388633251190186,2.953078269958496
132,False,0.01,ViT-B_16-mae,False,0.01,0.9410568475723268,0.95,0.775,0.77,0.97499996,0.864716081173628,65,31,7.174517343700739,6,1.6679017562637455e-06,2739463424.0,10.481204986572266,0.003905266523361206,1.7288120985031128,41.272745709914474,0.15200498700141907,1.774950623512268,20,0.09416328370571136,0.0937122032046318,-0.01106979972238749,0.0008469544085442383,-5.402278390161325e-05,0.050594690830254876,1469.7051518507146,6.51618907203634,3.1382129609136378,0.48541440163938254,10.6875,0.022348673503862004,380895.9292150568,0.004088747055290944,17173,1.7667008901958339,3.2340663444631086,0.01656095842142354,0.1625888957262436,0.008417508417508416,0.5063385804793191,0.00037536504740250684,-2.3942563994931102e-05,0.009937852472655509,859434.0037114548,0.0018121078677153252,0.01656095842142354,0.07205840998205426,0.4244733154773712,0.0003755816142074764,3.853212594985962,2.9879236221313477
133,False,0.0,ViT-B_16-mae,False,0.01,0.9532520174980164,0.96999997,0.85999995,0.71999997,0.965,0.8989333448981704,65,31,7.262939922879812,5,1.7562255152370199e-06,2585998080.0,10.595626831054688,0.01246490003541112,1.4649020433425903,46.39160682452279,0.1593930721282959,1.7922264337539673,22,0.10965248942375183,0.10860133916139603,-0.004357398170604607,0.0009269007264494759,-0.0003934879493408827,0.05661541637739609,1371.2735686628876,6.198968888386864,3.0695483547961104,0.44364346292419826,8.25,0.022752080873903374,425375.39494534285,0.004420254268157093,5334,1.956686540745588,3.112417428314342,0.01303249890206412,0.16110295805050592,0.007050839659535312,0.5291179040254388,0.000382478911036769,-0.00016236996171261215,0.009640137919620251,1030856.2244327527,0.0018239860921189332,0.01303249890206412,0.06647797576336899,0.37677690386772156,0.0005002762190997601,3.7565314769744873,3.004969596862793
134,False,0.01,ViT-B_16-mae,False,0.01,0.9380080699920654,0.955,0.745,0.66999996,0.96999997,0.843351735426303,63,32,7.261623824550621,4,1.6787721506261732e-06,3186128640.0,10.180852890014648,0.002467826707288623,1.534213662147522,21.02670376778467,0.16772352159023285,1.7968943119049072,20,0.0808686912059784,0.08057254552841187,-0.01651662370282239,0.00097804196892147,-0.0004465299802609796,0.040464593454946504,1394.6575012843277,7.819973000565575,3.162889400931895,0.4789604731311308,10.24,0.012150025552772588,586532.9391669013,0.003699970347387154,33539,1.9388572667774069,3.2241170463208184,0.013936651583710406,0.15885271980031587,0.007776101893748953,0.48674998422824717,0.000470454626412169,-0.00021478842459461873,0.009362583085245733,1219360.5847224747,0.0017797479334315089,0.013936651583710406,0.0764108280343095,0.29173243045806885,0.0002671820984687656,4.017342567443848,2.951076030731201
