,domain,middle_layer_entropy,weighted_shortcut_score,weighted_shortcut_score_normalized,early_to_deep_edge_importance,path_depth_entropy,deep_shallow_ratio,logit_contribution_ratio_deep_vs_shallow,logit_contribution_ratio_deep_vs_shallow_v2,logit_contribution_ratio_deep_vs_shallow_v3,logit_contribution_ratio_deep_vs_shallow_v4,logit_contribution_ratio_deep_vs_shallow_v5,logit_contribution_ratio_deep_vs_shallow_signed,deep_logit_contribution,deep_logit_contribution_signed,deep_logit_contribution_normed,deep_logit_contribution_signed_normed,largest_edge_score,middle_layer_score_ratio,std_entropy_across_layers,logit_contribution_peak_layer,algebraic_connectivity,spectral_gap,graph_energy,laplacian_energy,normed_laplacian_energy,laplacian_spectral_entropy,modularity,community_size_variance,avg_clustering,kirchhoff_index,avg_path_length,effective_path_depth,node_importance_entropy,avg_betweenness,spectral_radius,avg_edge_flow_centrality,edge_score_gini,normed_algebraic_connectivity,normed_spectral_gap,normed_graph_energy,normed_kirchhoff_index,normed_avg_path_length,normed_avg_betweenness,normed_spectral_radius,attention_mlp_ratio,layerwise_score_variance,weighted_path_depth,layerwise_score_entropy,model_id,AC,ANE,EMD,acc,f1,l2
10,location_73,6.833712474486337,0.0033291666768491,17.72224998474121,2.996766852447763e-07,1.1923424005508425,0.1323684290757734,1.5084387414122038,1.5084387410426283,2.0036425349610414,3.179992403170329,11.436710445088767,1.9768766754403948,1.543348881494211e-05,1.3911436155034096e-05,0.0315183873435867,0.0740554422247204,9.624919584894087e-06,0.1914609521627426,1.8724268674850464,15,4.878184576110231e-07,-2.836703679554171e-07,9.60533605927114e-09,2106.7454624947068,3.754331027886815,3.042850445129478,0.2792107246660004,112.5,0.0704396504476537,1053564806.343981,1.053104575546678e-06,0.819719225912758,2.796681457375909,0.0072752852297255,6.169007590112863e-05,0.0039308176100628,0.5330118304002724,0.000996239345353,-0.0005793211736182,0.0400611561466166,515888.43793572905,0.0021506857714136,0.0072752852297255,0.1259855571018163,0.5870296359062195,0.0004558539949357,3.670137405395508,2.6476309299468994,9,0.3201377689838409,-3.01298451423645,1.9045239686965945,0.323785803237858,0.0430748835206031,231.40927519748715
11,location_76,6.958929638875198,0.0064663048833608,19.70178985595703,1.8549721971794495e-06,1.1428534984588623,0.0680520453457149,1.3599713893611654,1.3599713892386869,1.6385740021289088,2.036863131906271,4.34201798553871,2.6275223159675685,3.045008306035157e-05,2.8166077005842283e-05,0.0200721669268798,0.0858175287146487,4.305328184273094e-05,0.1716789305210113,1.7968997955322266,19,1.0632887099430355e-06,-1.5183830655394666e-06,8.454618949917285e-08,1973.4098068742344,4.015556209062527,2.9662329776703675,0.2661504634713787,23.1875,0.0308734834774656,307158315.34822416,2.6452277806740054e-06,0.701258531353773,2.48745318290499,0.0082334977683814,0.0002271401120026,0.0042912344925767,0.571149934260373,0.0007009196518928,-0.0010009177966107,0.0367390672406881,465956.350298902,0.0017437335257206,0.0082334977683814,0.1497307079232072,0.6024819016456604,0.0001967466378118,3.2275097370147705,2.4431028366088867,9,0.1466900259256363,-3.4374256134033203,1.1182273626327517,0.1428571428571428,0.1000000014901161,231.40927519748715
12,location_78,6.903305535439433,0.0099352737888693,24.476442337036133,3.661977871161071e-06,1.2629443407058716,0.061333560693063,1.5394372704888062,1.539437270081101,1.885418142419495,2.5381234871240053,5.447304252335159,2.726101825226674,4.539401647185581e-05,3.971325428586692e-05,0.0174483280993199,0.0978368080056674,6.566106458194554e-05,0.1829805374145507,1.757160782814026,15,2.3757016540378868e-06,-3.144443707043712e-07,1.931799457730612e-07,1807.3456467489816,4.470898934887859,2.9578737009584715,0.2559089210428683,11.555555555555555,0.0321212254399283,195713636.2365836,4.209164144826487e-06,0.7563987466863848,2.4804899039327712,0.0088090204369274,0.0003542137663227,0.0047943562292894,0.5730793542601593,0.0009132264019904,-0.0001208733380479,0.0285453368820772,509136.8363087215,0.0016180145767508,0.0088090204369274,0.136160771535564,0.6630483269691467,5.877053627045825e-05,3.299733161926269,2.4537174701690674,9,0.2126470059156417,-3.1547889709472656,1.7767055034637451,0.002770083102493,0.0025641026441007,231.40927519748715
13,location_86,6.806147774503132,0.0062179150991141,16.503414154052734,8.304153311655682e-07,1.2641677856445312,0.0868625952312163,1.548931974208681,1.548931974034095,1.9801470970209256,2.549351806533454,7.001809152710164,2.5015825946382946,2.985063004778965e-05,2.807596531617662e-05,0.0234983125743036,0.0745180390303105,2.858047082554549e-05,0.1745593845844268,1.84639585018158,19,2.045663937259854e-06,-1.4185495736664525e-07,5.698173732467227e-08,1849.3848194218292,4.378562208412694,3.009949245361823,0.35365083667988,16.88888888888889,0.0494783734283637,286273095.94256854,2.27313131177876e-06,0.7137269476010419,2.5580772942204337,0.0090754395916052,0.0001848609176268,0.0047752566307737,0.5674917692297984,0.0016104556571992,-0.0001116757499407,0.0353154418805274,363635.3198057744,0.0017895300635152,0.0090754395916052,0.1455323644377456,0.4959960281848907,0.0006959249731153,3.317563533782959,2.456611633300781,9,0.1547845005989074,-3.483281373977661,1.4796946048736572,0.025,0.0416666679084301,231.40927519748715
14,location_95,6.964793031142226,0.0033987921196967,12.355269432067873,2.262830378185754e-06,0.9045690894126892,0.0238372934749104,0.5793480506732436,0.5793480502504957,0.8264054852530472,1.1216718015773737,1.8007972620154662,0.6727375977446002,1.3701281395217537e-05,1.0143851838950724e-05,0.0109610800396432,0.036874929264618,5.809893627883866e-05,0.1605743020772934,1.770180344581604,5,9.220327877059788e-07,-2.6838955874724428e-08,1.3210583944989848e-07,1982.6826244402143,4.368528344166548,2.574575982712799,0.2521815722057324,18.25,0.0108635542009547,709297688.7255358,1.4994692046698856e-06,0.8834573077009865,2.235067196878145,0.0095630215195432,0.0002816953779191,0.004994081325783,0.7632231100457595,0.0007376815555299,-2.1472789720646543e-05,0.084560417307841,886555.6176044205,0.0011996653374421,0.0095630215195432,0.2253732003236085,0.4950586855411529,0.0003382062132004,2.3882434368133545,2.283819437026977,9,0.2184681594371795,-3.127164363861084,1.955179572105408,0.0491379310344827,0.0189810190349817,231.40927519748715
15,location_101,6.698491586584241,0.0074382275342941,21.02485656738281,2.6022211443432752e-06,1.0464775562286377,0.2273293421694238,1.6313596128305683,1.631359611375938,2.186742909970011,3.5464123953973288,8.497759130116927,2.02260441218892,3.666552841030679e-05,3.525690782835156e-05,0.0486934553403408,0.0996571881844399,1.5658048141631298e-05,0.2178906798362732,1.9415208101272583,15,8.073809130744127e-07,-5.548692149633572e-08,2.5873186509745506e-08,2080.792194927105,3.079407867037037,2.9715618372598245,0.3519849503301201,12.25,0.1082643341262126,697362341.7021006,2.08346960422742e-06,0.9963118376724954,2.753436880423625,0.0110523843081982,9.6482217806697e-05,0.0054433221099887,0.5415097336131317,0.00107227077867,-7.369133676567489e-05,0.0456354032988114,525088.4922014154,0.0027670254799445,0.0110523843081982,0.1281366199271392,0.585586667060852,0.0005309803527779,4.404484272003174,2.8303234577178955,9,0.3435933291912079,-2.899374008178711,2.084956169128418,0.562251655629139,0.1137109920382499,231.40927519748715
16,location_104,6.9378100149333,0.0086108418181538,20.75688743591309,2.3978296894711093e-06,1.033703088760376,0.094839685221469,1.5930197257221408,1.5930197256509506,1.8776923728163648,2.585867705352808,7.376714624071459,2.3488379655176184,4.076080637793744e-05,3.583840792464876e-05,0.0191107557792026,0.0863902022494813,5.803306703455746e-05,0.2135009914636612,1.7428221702575684,23,1.3484375535094692e-06,-6.515818253090515e-07,1.1588392574936532e-07,1825.319860756389,4.453701673721461,2.9684900005858554,0.2721219641339588,35.0,0.0334066645922911,374765509.8010424,3.7503658068077767e-06,0.7773998993695335,2.587918071806802,0.0077667283379586,0.0002590840399177,0.0043906938853747,0.5429986278297327,0.0006322405262739,-0.0003055064673589,0.0254757031285368,799296.8927161727,0.0017584301570016,0.0077667283379586,0.1214764659160984,0.7168086767196655,0.0001821948972065,3.912763833999634,2.579551935195923,9,0.2320436388254165,-3.2073748111724854,1.5493801832199097,0.0761904761904762,0.0301318261772394,231.40927519748715
17,location_115,6.887814201591609,0.0065351105295121,14.109994888305664,1.2149411077189145e-06,1.054539918899536,0.0798528969542984,0.7596095147556776,0.7596095146014706,1.088373936694789,1.5149839934169893,2.8810769698031047,0.970759619731058,3.3512807871005634e-05,2.097674203938027e-05,0.0183904858054196,0.0452909895868047,2.928512731159572e-05,0.2117984145879745,1.7641501426696775,7,8.039932677816949e-07,-8.772594371629029e-07,8.931447233753803e-08,1828.2473130394364,4.514930533716238,3.0387581888386395,0.3278810532538161,32.75,0.0503485469229713,380253234.4310975,2.8529479598673874e-06,1.0412874748671426,2.867089051837476,0.0101778656126482,0.0001774063778026,0.0054106280193236,0.5632861024906108,0.0004412124250322,-0.0004814191690106,0.0268975352730309,692911.2181985091,0.0015656301340904,0.0101778656126482,0.0973564110133467,0.5576920509338379,0.0003130783734377,3.218071937561035,2.609018087387085,9,0.3147493004798889,-2.8542983531951904,1.5786759853363037,0.0714285714285714,0.0419999994337558,231.40927519748715
18,location_120,6.804218568868686,0.0153458211570978,22.02655792236328,5.749397359977593e-06,1.1873611211776731,0.1067116420151587,1.455193486082417,1.4551934854836512,1.8983659860123017,2.6961735132838154,6.206020082978831,2.086206181783184,6.827148663646199e-05,6.534144664627206e-05,0.0277583453617404,0.0937872316330466,4.536935011856258e-05,0.1990717202425003,1.8319625854492188,15,2.736801826680813e-06,-5.637299311110935e-07,1.8250927396644698e-07,1894.7366179157848,3.929321021725915,3.011733101719291,0.3212222725679728,86.0,0.0573231828445691,216423523.45676133,5.43190097248659e-06,0.8534894422236529,2.5860102143400034,0.0089617101245008,0.0003270504881634,0.0048706240487062,0.5443112635572934,0.0011128243873264,-0.0002292209337851,0.0301752918680209,532256.7685540026,0.0022086917768724,0.0089617101245008,0.132983596504696,0.4770680069923401,0.0003286685096099,3.956740379333496,2.626378297805786,9,0.2997398972511291,-2.914907693862915,2.1032958030700684,0.1926264647042012,0.0450315773487091,231.40927519748715
19,location_125,6.910076091039199,0.0093857683241367,18.01255989074707,5.107015681460325e-06,1.154187560081482,0.0701966211307041,1.474860008153925,1.4748600074704366,1.7164848630602725,2.2661998899265763,4.857823563341957,3.123495693078284,5.650985493232952e-05,3.5173455533055176e-05,0.0131773196480347,0.067503095747488,0.0001331892854068,0.2150141298770904,1.6839998960494995,15,4.169052640060967e-06,-6.113793323796679e-07,4.092017476996429e-07,1803.106416431623,4.521869318700212,2.8985311394025493,0.2245781811142435,11.36,0.024510590933833,164102125.2859314,6.468731384442971e-06,0.7027922666339943,2.448037607923905,0.0073232323232323,0.0005164091891017,0.0041264090177133,0.5447035940919134,0.0009722127577117,-0.0001425721795466,0.0222528363904944,703704.3861367317,0.0015084921895551,0.0073232323232323,0.120425347582828,0.7678541541099548,0.0001683337177382,3.6480774879455566,2.520164728164673,9,0.3312491774559021,-2.8271872997283936,1.731911301612854,0.2576923076923076,0.1147857531905174,231.40927519748715
20,location_127,6.647391984231343,0.0136251803487539,21.15282821655273,5.862964712832763e-06,1.1541142463684082,0.0638785469160204,1.0185473262759528,1.0185473261987017,1.4955317313858292,2.625332613308728,6.396578216020236,1.3068862616353742,8.33933432611289e-05,5.958116135129643e-05,0.0231531151654616,0.0924988250862002,0.0001238048280356,0.1779876798391342,1.8623112440109253,11,1.7018799735197064e-06,-5.664614961167591e-07,6.241850724806113e-07,2114.345605213745,4.117436879980181,2.715570598007145,0.364256370762982,88.66666666666667,0.0197074460760669,264590042.74577123,3.706238521006486e-06,1.139670297785379,2.5625849071167104,0.0091318234610917,0.0005425096627773,0.0045678117375612,0.7057447829749354,0.0004725199812625,-0.0001572756986865,0.0481167043206143,952976.628800253,0.0010290218884413,0.0091318234610917,0.1506255770843806,0.7433854937553406,0.0001255319075426,3.3771326541900635,2.532838821411133,9,0.4251618087291717,-2.551246166229248,1.7509493827819824,0.1444866920152091,0.0838911235332489,231.40927519748715
21,location_146,6.742030508080962,0.0027391219045966,8.30630874633789,9.116930925756606e-07,0.8736312985420227,0.0477157024268248,1.011798477689297,1.0117984775011768,1.285391084469718,1.612597703463652,3.32147720146095,1.449653416184215,1.261164078680821e-05,8.373400693706401e-06,0.0136707625429682,0.025392235515221,2.3477949071093462e-05,0.2116729021072387,1.7378065586090088,19,8.385256717984557e-07,-3.923521456016817e-07,4.823937287221448e-08,2080.324249323916,3.82310555665018,2.915132831559598,0.2536988092888986,42.5,0.0514301204556644,598780664.880358,1.4927605092203176e-06,0.6812170885722926,2.4184816254949992,0.0077474560592044,0.0001615959837963,0.004112801867313,0.6057914124754286,0.0009089989872987,-0.0004253271009074,0.0566885971843838,552358.1092517955,0.001618218540369,0.0077474560592044,0.1751772051557065,0.5925432443618774,0.0011334668379276,2.869609832763672,2.5428476333618164,9,0.6273190379142761,-1.8005813360214231,1.5572439432144165,0.782051282051282,0.1755395680665969,231.40927519748715
22,location_156,6.864004585064071,0.0058040921576321,25.11943626403809,0.0,1.2609401941299438,0.0659550110543935,2.1382574423972223,2.138257441521552,2.6529885276302965,3.812202107653112,14.27529925370845,4.771400428156393,3.2934022115765904e-05,3.1790347777421735e-05,0.0211803528257984,0.1375855263380752,3.204294989700429e-05,0.164344921708107,1.782001256942749,21,1.210732862092724e-06,-4.347909796618746e-07,7.70263765515934e-08,1928.9184859640504,4.49752803224776,2.934491485834992,0.2986387613160168,10.6875,0.0522758664719815,333970940.62813145,2.633676056216432e-06,0.6700485759223016,2.402623133490459,0.0102909002511952,0.0002301382327109,0.0052794696690045,0.5902184370306148,0.0007786887805985,-0.0002796379482405,0.0318618256383187,519269.8305537144,0.0016938616959148,0.0102909002511952,0.1480145361933646,0.403107613325119,0.000237593150814,3.0155820846557617,2.422407627105713,9,0.2817606329917907,-2.998138427734375,1.8881289958953855,0.4390581717451524,0.1558505445718765,231.40927519748715
23,location_163,6.891953032484986,0.0043309219181537,17.194379806518555,8.301348941586184e-07,1.0764131546020508,0.1298030971854682,1.0706018724029132,1.070601871628334,1.4151323129740832,2.1377079674095527,3.7646698632746407,1.2501934535724428,1.900742202387562e-05,1.7746894171111194e-05,0.03007626063803,0.0704578545368983,1.062358387571294e-05,0.2058985382318496,1.873241305351257,19,6.720508217973883e-07,-9.755177506699979e-08,1.4147887150576244e-08,1858.9946360884503,3.86854220665501,3.009861867132621,0.2970835737508973,30.5,0.0781403891229939,694198138.5691456,1.1816423246147723e-06,0.842036948705969,2.7481587706417416,0.0102939695962951,7.9699228492669e-05,0.0053741184819408,0.5350490726528702,0.0010634467955033,-0.0001543649968518,0.0354257372733409,438702.1778488941,0.0018698195373072,0.0102939695962951,0.1261152983702765,0.5195931792259216,0.0007713539525866,3.4706742763519287,2.6336164474487305,9,0.3229630291461944,-2.9840049743652344,1.8069806098937988,0.2574712643678161,0.0441176481544971,231.40927519748715
24,location_169,6.986674404843232,0.0067705400288105,19.25501251220703,2.468212358053279e-06,1.0560669898986816,0.1302311980656768,1.387837445195764,1.3878374451588171,1.676489563783421,2.3479362466067686,6.538674586765987,1.7914088766775074,2.734083089173112e-05,2.6950042483875336e-05,0.0273891505618089,0.0766439362063125,1.4977817954786588e-05,0.2045268714427948,1.8313933610916135,15,1.0493405839057554e-06,-2.5115712203097552e-08,3.6862497437464776e-08,1764.757997716362,4.122712176905734,2.9779061702450758,0.2854994770556672,72.6875,0.0801167517490999,644575694.8697262,1.944431170602046e-06,0.7975716719198085,2.647284867039513,0.0090759584746633,0.0001317988851813,0.0049497635933806,0.5483950855124735,0.0010512094678126,-2.5160470778316704e-05,0.0369939192833374,643429.7411617087,0.0019478942287519,0.0090759584746633,0.1320336206475693,0.5425876379013062,0.0005255403229966,3.911431789398194,2.6314356327056885,9,0.1941723972558975,-3.286644458770752,1.6252714395523071,0.0566037735849056,0.0277056284248828,231.40927519748715
