,Unnamed: 0,domain,edge_start_ratio_deep_vs_shallow,srcc,pearson,cosine,residual_norm_L2,residual_norm_Linf,kendall_tau_c,kendall_tau_b,abs_srcc,abs_pearson,abs_cosine,abs_residual_norm_L2,abs_residual_norm_Linf,abs_kendall_tau_c,abs_kendall_tau_b,weighted_jaccard,binary_jaccard,spec_L2,spec_Linf,degree_dist_L1,mcs_approx,laplacian_spectral_dist,netlsd_dist,motif_counts_dist,degree_distribution_dist,ged_approx,trim_srcc_w,trim_srcc,trim_tau_b,trim_rbo,trim_sign_agree_w,model_id,AC,ANE,ATC,EMD,acc,alphaReQ,bacc,f1,l2,rankme,layer_vec_L1,layer_vec_L2,layer_vec_Linf,layer_vec_Lp,layer_pearson,layer_spearman,layer_spec_L2,layer_spec_Linf
35,54.0,edge_enhance_stylize_transform,0.2273122578011903,0.6071908216533568,0.9234000719454412,0.923436454713642,0.0051875174454961,0.0034660964738577,0.4852295190518483,0.4852295204305947,0.718584340781639,0.92908757495599,0.9298499029992348,0.0050090287267202,0.0034660964738577,0.5384214704719114,0.5384214735306188,0.6248617574209399,0.5891891891891892,0.129817281879608,0.0844033182844751,0.7714727331889663,0.8129251700680272,0.2535825725118123,0.031646174002388,0.5424087311918383,0.0911584620961927,,0.6605687847702969,0.4937619658861382,0.3453651037663336,40.44477050507943,0.9999999999948564,0.0,0.9829663038253784,-0.0471147783100605,98.75,1.930490493774414,0.985,0.8159892572546249,0.9846786529250984,0.984945833683014,479.09810160932346,93.27084350585938,0.000844727186248,0.0002437060518813,0.0001814693890852,0.0002437060518813,0.989767275922854,0.993399376180644,0.0763739033454471,0.0628510169536083
36,58.0,edge_stylize_transform,0.0526709638753808,0.0129386762168671,0.6378897581364541,0.6379566286075279,0.0124818506108043,0.0066516922088339,0.0103544681498193,0.0103544681596253,0.5317406145237965,0.7789441737587377,0.7806353450070259,0.0123290271895759,0.0066516922088339,0.3746642011100204,0.374664203238836,0.0293405983273495,0.1091703056768559,0.2716768933963479,0.1708082309790003,1.172187488473331,0.9881889763779528,0.4613386727694912,0.0211641365852552,0.5066296344604558,0.1164079083214682,251.0,0.4219428164356922,0.3383843820849809,0.232051948051948,18.44608255261268,0.9999999999933769,0.0,0.9909206628799438,-0.0470808893442153,99.75,1.797935128211975,0.5275,0.8199679435658058,0.5,0.3453355133533478,479.09810160932346,130.86465454101562,0.0042651837969938,0.0012891041782988,0.0011155193606513,0.0012891041782988,0.4212136932664936,0.8992224223520626,0.3956795922188185,0.3076254782365412
37,52.0,emboss_stylize_transform,0.1780679281154476,0.0544622445051962,0.0390491413423243,0.0394718305039317,0.0130945342170717,0.0074165271073241,0.0413478484316823,0.0413478485491115,0.5843699356056025,0.4343130144180092,0.4452684910741167,0.0128369908097239,0.0074165271073241,0.4155252257186917,0.4155252280777252,0.0203409456051072,0.2142857142857142,0.1653170832907752,0.099832307992462,1.0598267432562836,0.9669117647058824,0.4886775500564066,0.1322793167137901,0.5474828117430705,0.1022619985129827,263.0,0.3954301878373666,0.3732164292587218,0.2592093441150044,21.424757468084028,0.9999999999933894,0.0,0.9707918763160706,-0.1119520664215087,99.5,1.825270414352417,0.5275,0.7943686639765208,0.5,0.3453355133533478,479.09810160932346,125.7936019897461,0.0042337371677881,0.0012753211910869,0.0010952327146031,0.0012753211910869,0.8171982568218301,0.9506435882792252,0.1721240271603853,0.1293255124604773
38,75.0,fog_1_corrupt,0.1487020175260196,0.5202604837890851,0.8676730298450991,0.8677418936029351,0.0132969270972917,0.0078248069621622,0.4089578848896537,0.4089578852769518,0.6910519348357567,0.8889366341435354,0.890492125157128,0.0127716920376237,0.0078248069621622,0.508849472023025,0.5088494749142717,0.3800124663721804,0.3926940639269406,0.2154844243270729,0.1511131224694277,0.940234443984484,0.740983606557377,0.5636621643977113,0.055160058120135,0.3209246990510451,0.0849843510086339,,0.573431157520856,0.4180341204222781,0.2911872795240351,31.6077746274482,0.9999999999966734,0.0,0.9898442029953004,-0.0320993177592754,99.0,1.9122157096862795,0.9875,0.7897392238341497,0.987324155570601,0.9874585270881652,479.09810160932346,118.1613311767578,0.0028307649886319,0.0007178609882965,0.0003614888294312,0.0007178609882965,0.9250101144520984,0.9625159249659536,0.332685001713688,0.1731801705268705
39,80.0,frost_1_corrupt,0.1465966598775961,0.5197698202311636,0.914443349006183,0.914460803122352,0.0118363962043393,0.0084374314174056,0.4090486490796552,0.4090486502415453,0.6821624336722698,0.9264145765755728,0.926803754872998,0.0115239137127637,0.0084374314174056,0.5026746507926612,0.502674653646462,0.4654653691688452,0.4187192118226601,0.2178471289991944,0.1510627499608907,0.9188682682408874,0.8993055555555556,0.3309978241757621,0.0580233753129457,0.1996058594247806,0.090295138293758,,0.5773142016603398,0.3594481333036413,0.2413824473940375,35.66867538783308,0.9999999999956698,0.0,0.9740687608718872,-0.0716252326965332,97.75,1.9158812761306765,0.9725,0.8156562364770704,0.9720028084956996,0.9723921418190002,479.09810160932346,103.14315795898438,0.001639330077007,0.0004469852275389,0.0002512608155828,0.0004469852275389,0.9376344788543912,0.973289988138646,0.1187732599208842,0.1103774644599968
40,81.0,frost_2_corrupt,0.0510330655756098,0.2689569022600558,0.8227095771578286,0.8226781717581939,0.0308079630506987,0.0173103888519108,0.2061794782392949,0.2061794786298681,0.6149150717243445,0.8465868998596755,0.8484219025463445,0.0303593054436682,0.0173103888519108,0.4420442661184087,0.4420442686300729,0.2021190570251738,0.2366071428571428,0.1712362908302021,0.1236202979318065,1.1463247386452278,0.9855595667870036,0.418826683152291,0.1191238215306633,0.2039637538935127,0.0984672360667963,277.0,0.5009551885196071,0.2723002487623882,0.1970861403879408,24.02378218230615,0.9999999999977968,0.0,0.9356141090393066,-0.1584336906671524,95.75,1.8623716831207275,0.845,0.8037370786152279,0.8368063391760074,0.8388731479644775,479.09810160932346,111.35504150390624,0.0065106351793308,0.001496300112952,0.0006994057596483,0.001496300112952,0.6554529620287681,0.8935882792250582,0.1764776468288811,0.153513036288359
41,82.0,frost_3_corrupt,0.0362114417178584,0.1774135161495979,0.5830112926583235,0.5829773080727875,0.0396468479518099,0.0330045777373015,0.133775389411576,0.1337753897916116,0.5993019224217085,0.6183766606834128,0.623062281615438,0.0390349201355063,0.0330045777373015,0.4287674542986538,0.4287674567344299,0.1605246633668978,0.2116182572614107,0.2883464123605408,0.1519855267318238,1.0303754243232477,0.9417808219178082,0.5349154020953786,0.1724628863635305,0.5364454468413342,0.1364702068980515,,0.4248253990771625,0.2254910765039057,0.1635476435643456,18.40656220009889,0.9999999999980618,0.0,0.9212700128555298,-0.1934883743524551,93.25,1.8491915464401243,0.735,0.8035699274929261,0.7201283883748338,0.7068259716033936,479.09810160932346,122.48898315429688,0.0079527813811667,0.0020338519619052,0.0014269647767402,0.0020338519619052,0.4331591043724353,0.8657140974388261,0.2243276693342478,0.1413020077650806
42,83.0,frost_4_corrupt,0.0354638666952214,0.1908033871812625,0.4943746390684768,0.4943347298162128,0.0447877766391245,0.0389327402226626,0.1442264532896993,0.1442264535629127,0.5997693695223959,0.536234025247647,0.5415663841376491,0.0440943042785304,0.0389327402226626,0.4287513001382945,0.428751302574429,0.1533783842513134,0.2049180327868852,0.330329364385806,0.1647094636361879,0.9759511952205956,0.7993197278911565,0.7612066883647013,0.1829638651525965,0.4493372161899907,0.1614534335286951,,0.4048325088726065,0.2188245247787096,0.1585024775848269,18.43945462828521,0.9999999999981034,0.0,0.92645925283432,-0.1885427683591842,93.25,1.8434600830078125,0.695,0.7797657836242075,0.6783520148449058,0.6551334261894226,479.09810160932346,117.89855194091795,0.0083959939328978,0.0022247548171311,0.0016115123957009,0.0022247548171311,0.3919400073213873,0.861277072442121,0.2306912266757592,0.1401311249162415
43,84.0,frost_5_corrupt,0.0282212312850956,0.1352744073960851,0.2982326885661166,0.2981754423681638,0.0553261600353051,0.0484093721024692,0.1021500163295246,0.1021500164262644,0.5886420337013037,0.3825553475847733,0.3894556232140804,0.0540620499434721,0.0484093721024692,0.419556714668387,0.4195567170522786,0.0914616908609688,0.1779661016949152,0.1421919944874558,0.0879450523377535,0.9470829484264646,0.8992805755395683,0.3724779607922568,0.0727043867829181,0.3400334576025269,0.0650318586344196,,0.3349063667257332,0.1828861843879787,0.1366537997177206,16.56619075979572,0.9999999999983188,0.0,0.9346125721931458,-0.174286887049675,93.0,1.835270524024964,0.6225,0.8007900888790496,0.6008049349281577,0.5380815267562866,479.09810160932346,125.4361343383789,0.0097472255010361,0.002663016991613,0.0019800346017229,0.002663016991613,0.285667268207864,0.8394104467776654,0.3537447389436682,0.2964530451232819
44,65.0,gaussian_noise_1_corrupt,0.1143928016410871,0.4484330919888446,0.829048074701078,0.8290859929742318,0.0104693640308899,0.004567798343487,0.3490118761801231,0.3490118771713278,0.660511095193679,0.8427867101838803,0.8450945944547387,0.010095128481663,0.004567798343487,0.4827106164633945,0.4827106192046437,0.4135191120322121,0.3744075829383886,0.1412762308598625,0.0779591485506916,0.917972365958978,0.7758620689655172,0.2233824636109296,0.0209550901248642,0.3129652117220263,0.0765459279914136,,0.5302464013500087,0.353381205129954,0.2403688591160427,29.09599440212184,0.9999999999964164,0.0,0.9638440608978271,-0.0921220555901527,96.25,1.9195517301559448,0.9425,0.8072142528001327,0.9394292735524964,0.9418277740478516,479.09810160932346,118.78579711914062,0.0026900685311368,0.0006312637827849,0.0003057681281531,0.0006312637827849,0.8784214890099118,0.9617581162412688,0.1020353521837305,0.0797129169642155
45,66.0,gaussian_noise_2_corrupt,0.0797929553861636,0.3386699802118456,0.6948256584203008,0.6948480293457315,0.0134577876547523,0.0055508990662929,0.2601947914107664,0.2601947921499403,0.6276834340188887,0.728596619963089,0.7327430235252488,0.0127486093639472,0.0055508990662929,0.4532224540236442,0.4532224565980686,0.3046907644931755,0.3098591549295774,0.1777407754248071,0.1216079843498591,0.9984914694135912,0.92831541218638,0.3112159230858648,0.0507144547597908,0.1768187706870694,0.0759853334889108,,0.4031280763054323,0.187997952119321,0.1214310322360681,20.547549411554087,0.999999999996612,0.0,0.9419748187065125,-0.1349393427371978,93.25,1.892679572105408,0.8775,0.7840967372178197,0.8703703703703703,0.8735149502754211,479.09810160932346,109.52445220947266,0.0035873759392973,0.0009323694977493,0.0005503847300692,0.0009323694977493,0.7216886987419193,0.9351579317313184,0.1775057965272634,0.1643395718268734
46,67.0,gaussian_noise_3_corrupt,0.0468094373953201,0.1775133590539386,0.5716989869812623,0.5716773887424154,0.0194690308537786,0.0096836817683652,0.1339415568212347,0.1339415572018205,0.5988984724030547,0.63209869854408,0.6376506228540162,0.0183854767149674,0.0096836817683652,0.427969004546604,0.4279690069775821,0.1877197872754588,0.2222222222222222,0.1309413409090717,0.0795220117952278,1.0359545009632949,0.9672727272727272,0.2515895428171094,0.0670751671619479,0.3481536848964352,0.0998357565630726,,0.2997532596383939,0.1138889416480895,0.0884710221240996,17.02258041441516,0.9999999999972016,0.0,0.9322164058685304,-0.1718237698078155,92.0,1.8541350364685056,0.77,0.7897382172001708,0.7566137566137566,0.749666690826416,479.09810160932346,115.62342071533205,0.0055249285796961,0.0014470970691646,0.0008971823937406,0.0014470970691646,0.4600491218265422,0.8736436322101657,0.1748677566455022,0.1093945855642355
47,68.0,gaussian_noise_4_corrupt,0.0495132258194431,0.063223481280056,0.3687802513254976,0.3685882030319169,0.0255565777266941,0.0064094136469066,0.0469468645220687,0.046946864655465,0.583671532590098,0.5226686228755849,0.5311945015888891,0.0231691435339899,0.0064094136469066,0.4151308088229276,0.4151308111818531,0.1119763896242861,0.1493212669683258,0.1361098849484913,0.0691139971553824,1.1169017175020082,0.984251968503937,0.5883023490729458,0.0960300063489596,0.515140147090673,0.0866801959096617,250.0,0.2728731595108982,0.1270616341814607,0.0983924226624956,15.771254975473312,0.9999999999979616,0.0,0.9106714129447936,-0.219022661447525,92.5,1.8289116621017456,0.59,0.8043986481204621,0.5661375661375662,0.4768906831741333,479.09810160932346,126.8819351196289,0.0084278856163425,0.0020635393411943,0.0009999649847275,0.0020635393411943,0.3613731830649586,0.8795303782453984,0.2790913350075883,0.2236185957985396
48,69.0,gaussian_noise_5_corrupt,0.0404170208003,0.0433638536817221,0.2589165095214499,0.2586580226962815,0.0197940310163897,0.0100242425687611,0.0316076033515417,0.0316076034413341,0.556975323168416,0.4515359648804903,0.4577696118219779,0.017166961399977,0.0100242425687611,0.3939886808031198,0.3939886830415403,0.1110649986184699,0.1473214285714285,0.1969955097130661,0.0884804095900365,1.0721124330465486,0.9961089494163424,0.3769926363156914,0.045828676336713,0.4448835805253425,0.0882598791637919,260.0,0.0808898030289097,-0.1533673715193438,-0.1055797616792389,14.873493440872664,0.9999999999961172,0.0,0.9711920022964478,-0.1191302686929702,99.75,1.8097023963928225,0.5275,0.795517463431179,0.5,0.3453355133533478,479.09810160932346,100.64490509033205,0.0039868685851486,0.0013603617240743,0.0010730978037039,0.0013603617240743,0.3377554161073663,0.8709858103061987,0.2636998556770477,0.2107404114882194
49,85.0,motion_blur_1_corrupt,0.1926287874499997,0.6858419395766508,0.9566356702841364,0.9566534517016222,0.0086345438654585,0.0062164608389139,0.5582808207842785,0.5582808223704486,0.7502459229458502,0.9588850300466284,0.959271309904392,0.008553585167398,0.0062164608389139,0.5697639638424707,0.5697639670784996,0.5702319246705299,0.5699481865284974,0.1578494781786433,0.109466522111699,1.0553809560584462,0.8250825082508251,0.2947993588310726,0.0054657948183708,0.5174334052776774,0.0786890081343812,,0.7409522838722206,0.591103603614463,0.4296050121580687,39.96978335654856,0.9999999999955774,0.0,0.9897326827049256,-0.0303872600197792,99.5,1.924716830253601,0.9925,0.8131024702028442,0.9928909952606636,0.9924830198287964,479.09810160932346,113.96983337402344,0.0013492333715386,0.0003409755577576,0.0001795915364046,0.0003409755577576,0.9767000747461893,0.9916091903527656,0.0504053375468726,0.0286722748993073
50,53.0,countour_stylize_transform,0.0696975733023996,-0.0061608304669571,0.6377101809952651,0.6377444575236519,0.0126575355522815,0.0068913610302843,-0.0054904102780346,-0.0054904102936352,0.5455394234675998,0.7941921183725049,0.7965720035529165,0.01253866102074,0.0068913610302843,0.3848124683413343,0.3848124705269136,0.0209157226326014,0.0956521739130434,0.1357515104460726,0.0703932357841073,1.203857226470823,1.0,0.3971388651327114,0.0508982610262341,0.5374065555408286,0.1373584546304121,264.0,0.4594603235521442,0.3338170298170299,0.2283563563563563,18.43922103351688,0.999999999993375,0.0,0.9944595098495485,-0.0328189097344875,100.0,1.80206036567688,0.5275,0.7839126753068195,0.5,0.3453355133533478,479.09810160932346,132.9468994140625,0.0043133300820897,0.001294557971189,0.0011157599376648,0.001294557971189,0.4564700818784467,0.884318850766595,0.2726212077363621,0.2352833063598214
51,54.0,edge_enhance_stylize_transform,0.2273122578011903,0.6071908216533568,0.9234000719454412,0.923436454713642,0.0051875174454961,0.0034660964738577,0.4852295190518483,0.4852295204305947,0.718584340781639,0.92908757495599,0.9298499029992348,0.0050090287267202,0.0034660964738577,0.5384214704719114,0.5384214735306188,0.6248617574209399,0.5891891891891892,0.129817281879608,0.0844033182844751,0.7714727331889663,0.8129251700680272,0.2535825725118123,0.031646174002388,0.5424087311918383,0.0911584620961927,,0.6605687847702969,0.4937619658861382,0.3453651037663336,40.44477050507943,0.9999999999948564,0.0,0.9829663038253784,-0.0471147783100605,98.75,1.930490493774414,0.985,0.8159892572546249,0.9846786529250984,0.984945833683014,479.09810160932346,93.27084350585938,0.000844727186248,0.0002437060518813,0.0001814693890852,0.0002437060518813,0.989767275922854,0.993399376180644,0.0763739033454471,0.0628510169536083
52,58.0,edge_stylize_transform,0.0526709638753808,0.0129386762168671,0.6378897581364541,0.6379566286075279,0.0124818506108043,0.0066516922088339,0.0103544681498193,0.0103544681596253,0.5317406145237965,0.7789441737587377,0.7806353450070259,0.0123290271895759,0.0066516922088339,0.3746642011100204,0.374664203238836,0.0293405983273495,0.1091703056768559,0.2716768933963479,0.1708082309790003,1.172187488473331,0.9881889763779528,0.4613386727694912,0.0211641365852552,0.5066296344604558,0.1164079083214682,251.0,0.4219428164356922,0.3383843820849809,0.232051948051948,18.44608255261268,0.9999999999933769,0.0,0.9909206628799438,-0.0470808893442153,99.75,1.797935128211975,0.5275,0.8199679435658058,0.5,0.3453355133533478,479.09810160932346,130.86465454101562,0.0042651837969938,0.0012891041782988,0.0011155193606513,0.0012891041782988,0.4212136932664936,0.8992224223520626,0.3956795922188185,0.3076254782365412
53,52.0,emboss_stylize_transform,0.1780679281154476,0.0544622445051962,0.0390491413423243,0.0394718305039317,0.0130945342170717,0.0074165271073241,0.0413478484316823,0.0413478485491115,0.5843699356056025,0.4343130144180092,0.4452684910741167,0.0128369908097239,0.0074165271073241,0.4155252257186917,0.4155252280777252,0.0203409456051072,0.2142857142857142,0.1653170832907752,0.099832307992462,1.0598267432562836,0.9669117647058824,0.4886775500564066,0.1322793167137901,0.5474828117430705,0.1022619985129827,263.0,0.3954301878373666,0.3732164292587218,0.2592093441150044,21.424757468084028,0.9999999999933894,0.0,0.9707918763160706,-0.1119520664215087,99.5,1.825270414352417,0.5275,0.7943686639765208,0.5,0.3453355133533478,479.09810160932346,125.7936019897461,0.0042337371677881,0.0012753211910869,0.0010952327146031,0.0012753211910869,0.8171982568218301,0.9506435882792252,0.1721240271603853,0.1293255124604773
