,Unnamed: 0.1,Unnamed: 0,model_id,middle_layer_entropy,weighted_shortcut_score,shortcut_drift,shortcut_reliance,early_to_deep_edge_importance,path_depth_entropy,deep_shallow_ratio,edge_start_ratio_deep_vs_shallow,shortcut_vs_local_ratio,shortcut_vs_local_ratio_1,shortcut_vs_local_ratio_2,shortcut_vs_local_ratio_4,shortcut_vs_local_ratio_5,edge_start_ratio_deep_vs_shallow_1,edge_start_ratio_deep_vs_shallow_2,edge_start_ratio_deep_vs_shallow_4,edge_start_ratio_deep_vs_shallow_5,logit_contribution_diff_deep_vs_shallow,logit_contribution_ratio_deep_vs_shallow,logit_contribution_ratio_deep_vs_shallow_v1,logit_contribution_ratio_deep_vs_shallow_1,logit_contribution_ratio_deep_vs_shallow_2,logit_contribution_ratio_deep_vs_shallow_4,logit_contribution_ratio_deep_vs_shallow_5,logit_contribution_ratio_deep_vs_shallow_signed,deep_logit_contribution,deep_logit_contribution_signed,deep_logit_contribution_normed,deep_logit_contribution_signed_normed,test_rankme_id,test_alphaReQ_id,val_id_acc,val_id_f1,test_rankme_location_38,test_alphaReQ_location_38,test_ATC_location_38,test_EMD_location_38,test_AC_location_38,test_ANE_location_38,test_acc_location_38,test_f1_location_38,sharpness,shortcut_vs_deep_ratio,shortcut_vs_deep_ratio_1,shortcut_vs_deep_ratio_2,shortcut_vs_deep_ratio_4,shortcut_vs_deep_ratio_5
10,10,10,10,7.5740866474937425,0.006926336325705,7.38732448724044,7.38732448724044,0.0001426042726961,1.2704757452011108,0.0508500692096146,0.0524851269744643,10.880331625513122,282.2892963322022,51.07215067567304,5.005264955781866,0.942890317186681,0.0571528213576033,0.0586826664919583,0.0943149213342977,0.238175423943961,0.0028121892455308,14.28414194895835,954212766.37353,33.9223296413812,27.857477554323165,14.777517413896916,8.757956604406012,182.9396057555104,0.0031283313180807,0.0029778710502199,0.0103759906685393,0.3302734088058889,156.30552673339844,0.9219567689779304,0.8718367218971252,0.829648494720459,109.33670806884766,0.9192517366228006,71.07014848950332,2.1165597438812256,0.758736252784729,-0.6976937651634216,0.4111623143881208,0.1559961289167404,0.3524372577667236,0.8596392365901764,3.1576273502974144,1.055914131282578,0.3407215274496672,0.3737343804632794
11,11,11,11,7.4245618075798,0.0209821127355098,8.215197997153288,8.215197997153288,0.0003675286388897,1.319993495941162,0.0486757576823514,0.0746861775456866,9.303994830121889,219.10698625558584,41.27511834471368,4.857592316655426,0.9452889830412432,0.0317711524281263,0.0806752793492701,0.1244376119781612,0.238849012374825,0.0020080298515168,0.1887192939620514,1458746701.2461276,22.51612661468802,15.151139443765912,8.749095232643993,6.4699812869464,55.86719650971944,0.0023938123314906,0.002285182872356,0.0146972447665568,0.3552199447972211,11.28523063659668,1.9019905748299928,0.5551020503044128,0.2938511967658996,9.233847618103027,1.4151136086859677,60.62467997951869,2.030804395675659,0.4980874955654144,-1.4023425579071045,0.3886328725038402,0.0952342003583908,0.4928558826446533,0.4802401059846216,3.6036527634109454,1.251731931638182,0.4548658907649757,0.3750500244516081
12,12,12,12,7.600933284447292,0.0543806925415992,6.663473268278852,6.663473268278852,0.0006649418755841,1.4722106456756592,0.1332033358715078,0.1591635685846669,10.07681281225882,232.81237350587327,40.92342649585011,5.878053846474105,1.24543098410744,0.0483534396953576,0.1549816629489466,0.2352108182039429,0.3831695869334473,0.0025907654704724,0.20082383415193453,1724764788.3777974,75.56660129861544,49.95617234019518,28.744126005535623,13.431730565192373,87.64596219821932,0.0028260688014825,0.0028066139035445,0.0296910306300849,0.2211911865102151,4.403478145599365,1.6437044415966635,0.4726530611515045,0.2320028990507125,4.958642482757568,1.4906572295967755,84.89503328213006,2.0289976596832275,0.3807930052280426,-1.5858794450759888,0.0885816692268305,0.047127366065979,0.2317238092422485,0.452817217107582,5.0416372636911735,2.015349641050797,0.8693124886318192,0.6220357003189444
13,13,13,13,6.591175815758033,0.0838526114821434,6.704049445405316,6.704049445405316,0.001088282209821,1.0048342943191528,0.0135624428167646,0.1172695726525737,12.68300219525256,152.8755055290551,44.30335733782077,7.926480519359159,2.0907813350351794,0.0368502890108356,0.1236351283415465,0.1624431979405068,0.2506446334781443,0.0009506801865963,0.2191714024003674,664390849.1241746,18.75090605895384,19.089438225603665,10.524254282676983,7.641549487266515,15.675535625311284,0.0011520469074639,0.0011324252311624,0.0105263288690825,0.0645720010982219,5.40502405166626,1.60370852066609,0.4718367457389831,0.2339449822902679,6.54051399230957,1.538111925701524,40.34818228366616,2.032219409942627,0.4084878861904144,-1.495652437210083,0.1781874039938556,0.0694272592663765,0.255275011062622,0.5337116253881988,3.379659035904485,2.142042808383485,0.9292068531628288,0.6194307592609364
14,14,14,14,6.857801497614633,0.0270868744701147,3.018948900700507,3.018948900700507,0.0,0.9000702500343323,0.1209725051970711,0.0622557017851626,10.731751645290997,126.99983163120594,35.81422340217199,7.423047692187714,2.214079065891418,0.0134643816490939,0.0516788082172237,0.0985909000439046,0.1772755053255759,0.0001305682380277,0.3673890333669203,1.628639707421936,2.542123430395403,2.1298327364785017,1.831931991099241,1.6230592862955635,1.883040048237849,0.0005611471044417,0.0004921012867171,0.0268580264038282,0.074669596748776,4.502584934234619,1.7116490105846411,0.4799999892711639,0.2413603216409683,7.064886093139648,1.6067338964276503,83.05171530977982,2.0482118129730225,0.4927939474582672,-1.3090318441390991,0.0455709165386584,0.0295603852719068,0.1852694988250732,0.5239882353004791,1.3163047890412394,0.910191596911249,0.5957796068598252,0.4839797379498554
15,15,15,15,6.886958465366356,0.0370315611362457,3.124589089918186,3.124589089918186,1.0797758477565368e-05,0.8867682218551636,0.0819167639495592,0.0586061253081824,9.291241126825708,108.42384224946358,29.125467977183607,6.844529316125592,2.175403112009382,0.0102058108069546,0.0481076651315577,0.0963932008382901,0.1814582804693078,-9.93338347186068e-05,0.20831419561316183,0.5877441843921939,1.6579783250820883,1.174764282056629,1.0942706909486353,1.087973436806687,0.7915596649530949,0.0005682220237872,0.0003587461597476,0.0256646506466934,0.0348936954543493,4.653034210205078,1.602878632071303,0.4759183526039123,0.2351197898387909,6.141503810882568,1.578630969530342,92.31950844854072,2.031628370285034,0.4645989835262298,-1.392054796218872,0.0506912442396313,0.0299160666763782,0.1520654439926147,0.435032586135336,0.9488510361467652,0.7256704797700023,0.5454115339061874,0.4877050658726838
16,16,16,16,6.855312028652914,0.0234539285302162,2.892781984990924,2.892781984990924,0.0,1.0277780294418335,0.0500785106219601,0.0475321221252845,10.674683887344674,139.85610482811654,36.27217566106601,7.572830281679741,2.2797182244031,0.0250460318238846,0.0384370906919617,0.0805576067911035,0.1562699226236166,-1.7481133269825477e-05,0.9262201589859612,0.6517479273719293,2.6728825848812434,1.7044950092250548,1.252883125708417,1.170000219640149,1.1010084599003434,0.0002968536923901,0.0002491335525292,0.0194388582559137,0.0374464055083433,4.392374515533447,1.862885957256824,0.486530601978302,0.2553791999816894,5.436286926269531,1.74386838117055,53.86584741423452,2.0432121753692627,0.4065665602684021,-1.4663491249084473,0.3302611367127496,0.0967160910367965,0.0903960466384887,0.4092435157725128,1.1470482203863392,0.731455520144498,0.5093077142320525,0.4432540388076604
17,17,17,17,6.782690053409478,0.0565398707985878,2.7507444085141497,2.7507444085141497,8.448938115179772e-05,0.926838219165802,0.0710984119772392,0.058046281496185,10.101382874144006,116.5903986750036,30.40333327528065,7.65187337816521,2.5358859830995946,0.0259396600480723,0.0432379989693932,0.0894719217846579,0.1609966448518101,-7.22991188171207e-05,0.889032301065098,0.8284214253651571,2.138955094769419,1.3031052553370648,1.144593125235268,1.1014161441172297,1.0966283680396078,0.0007457402151693,0.0006840616599994,0.0263453305553563,0.0420538048326306,2.692852735519409,1.804359817155729,0.4726530611515045,0.2330757230520248,2.3339109420776367,1.6966217402869643,10.08704557091654,2.032034397125244,0.4239002466201782,-1.4307961463928225,0.3010752688172043,0.0823156163096427,0.0475400924682617,0.4809943069736861,1.1574398041318417,0.7514451987344415,0.5778104231348681,0.4903250861075834
18,18,18,18,6.324343120913245,0.0206540841609239,4.551621756892756,4.551621756892756,0.0,1.165626049041748,0.0524389233496924,0.0668889407365295,4.894865800312419,24.0884693470455,10.80800851702134,3.666085979541599,1.5537216909054736,0.059557954376713504,0.0480000951763924,0.1010750178741923,0.1644021603895847,-0.0001479257789327,9.085621656624399,0.6111283829659693,0.3790784593225293,0.5151709065031006,0.6888587298879683,0.7557473187347827,1.1204940830141417,0.0002052290048482,0.0002046402795485,0.0314648798604939,0.0526509912555129,68.18162536621094,0.9352170027157553,0.6097959280014038,0.3509674668312073,47.95712661743164,0.9104200624099342,82.59088581669228,2.03942346572876,0.517703115940094,-1.2492069005966189,0.4603174603174603,0.1659091860055923,0.3858601570129394,0.7890099625940301,0.2942107883015459,0.3400286988010538,0.3641830357304498,0.3605604466399585
19,19,19,19,7.481862767604293,0.0185406021773815,6.025512136376716,6.025512136376716,0.0002464981043885,1.585920333862305,0.139068418430987,0.1188871868472852,13.62997040737097,145.4611590475979,46.93569932218551,7.543270593864976,1.3455988928069282,0.1105453981151626,0.1229502114606176,0.1752829715720908,0.2882177472176276,0.0009107791033149,6.314350278445181,40.21118515427852,15.621455910937076,10.950583938130118,6.553989262462393,4.478347742138622,19.326551410686903,0.001123229924655,0.0010433282018986,0.0249091063670051,0.2826166282664622,68.18162536621094,0.9352170027157553,0.613877534866333,0.3552359044551849,47.95712661743164,0.9104200624099342,86.63594470046083,2.0457839965820312,0.52247154712677,-1.212864875793457,0.4567332309267793,0.1675073802471161,0.3819762706756592,1.0295610388583052,3.088723873294631,1.9730337390880937,0.8864158036675179,0.5247895631162778
