,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,model_id,middle_layer_entropy,weighted_shortcut_score,shortcut_drift,shortcut_reliance,early_to_deep_edge_importance,path_depth_entropy,deep_shallow_ratio,edge_start_ratio_deep_vs_shallow,shortcut_vs_local_ratio,shortcut_vs_local_ratio_1,shortcut_vs_local_ratio_2,shortcut_vs_local_ratio_4,shortcut_vs_local_ratio_5,edge_start_ratio_deep_vs_shallow_1,edge_start_ratio_deep_vs_shallow_2,edge_start_ratio_deep_vs_shallow_4,edge_start_ratio_deep_vs_shallow_5,logit_contribution_diff_deep_vs_shallow,logit_contribution_ratio_deep_vs_shallow,logit_contribution_ratio_deep_vs_shallow_v1,logit_contribution_ratio_deep_vs_shallow_1,logit_contribution_ratio_deep_vs_shallow_2,logit_contribution_ratio_deep_vs_shallow_4,logit_contribution_ratio_deep_vs_shallow_5,logit_contribution_ratio_deep_vs_shallow_signed,deep_logit_contribution,deep_logit_contribution_signed,deep_logit_contribution_normed,deep_logit_contribution_signed_normed,test_rankme_id,test_alphaReQ_id,val_id_acc,val_id_f1,test_rankme_location_100,test_alphaReQ_location_100,test_ATC_location_100,test_EMD_location_100,test_AC_location_100,test_ANE_location_100,test_acc_location_100,test_f1_location_100,sharpness,shortcut_vs_deep_ratio,shortcut_vs_deep_ratio_1,shortcut_vs_deep_ratio_2,shortcut_vs_deep_ratio_4,shortcut_vs_deep_ratio_5
24,24,24,24,24,7.524124471641681,0.0208589117974042,5.28651805816443,5.28651805816443,4.783732219948433e-05,1.6200233697891235,0.2023350716510886,0.1305125412304945,15.172966110828767,243.65422914884408,63.293381459539816,8.569681986142161,1.41795228356313,0.1563766763033763,0.1535656104894993,0.1887104325641776,0.2980138397678651,0.0012042604193105,13.65500782952106,984068003.1629744,53.31092275533143,29.56840949434465,14.268936604983493,7.599931244597311,35.225148701056334,0.0013578458449217,0.0012857180707044,0.028737823738774,0.296381613339895,84.62954711914062,0.8989170363611649,0.7861224412918091,0.4876013994216919,79.7462387084961,0.98786398648475,65.09240246406571,1.9593653678894043,0.6333758234977722,-1.047365665435791,0.2166324435318275,0.1386300176382064,0.6676734447479248,1.2285318974080877,6.442576000681912,3.1263828884821256,1.0510852227342755,0.5551429594379319
25,25,25,25,25,7.548229007817245,0.0310516990721225,5.407445128137668,5.407445128137668,7.748037751298398e-05,1.4751147031784058,0.1666418437687772,0.1264715962318532,14.220808467873262,402.3208660826208,60.99433118901714,7.592381362300263,1.129492954302325,0.1583601843800181,0.1604376953497517,0.1913886326378757,0.3188089105614203,0.0017692694471378,20.365744234183204,1310391678.9987123,75.90395650788734,54.95342986603325,20.963644266881182,12.367909576409684,43.0934894449841,0.0019152548719176,0.0018520578841645,0.0230389710787158,0.23118460401178,42.9373893737793,1.0779853383197284,0.7869387865066528,0.5202503800392151,41.221588134765625,1.2077262346994715,56.365503080082135,1.9465574026107788,0.5776968002319336,-1.2140215635299685,0.2053388090349076,0.1278371661901474,0.7573151588439941,1.0381127867172832,8.904350154678703,2.730543991946538,0.8868363860906421,0.5147836986636181
26,26,26,26,26,7.541192418186467,0.0234164893627166,5.964769703441061,5.964769703441061,9.319397395302076e-05,1.6462968587875366,0.2101641439613595,0.1615463950254679,14.756477885305369,349.274513604295,59.95113064167041,7.938071300927015,1.1545748407685643,0.2309489378404101,0.2129719922220069,0.2399946067252543,0.3576518998141156,0.0013663339456897,26.1826432814186,1079168458.0908625,67.72852688419832,50.20207513575255,26.823627820838823,15.584664798266296,52.298618309932266,0.001455370032545,0.0014031656817508,0.0338028032699862,0.2499206206212805,101.20733642578124,0.9758667461677962,0.8391836881637573,0.6880460977554321,98.57855224609376,1.0491217640009634,71.66324435318275,1.979288578033448,0.6856492757797241,-0.8797629475593567,0.2433264887063655,0.1586431711912155,0.586478877067566,1.3217990194979097,11.34758852847504,3.500759100422676,1.1139207834934,0.5675886324013384
27,27,27,27,27,7.616631462099964,0.0637407973408699,6.214559734245749,6.214559734245749,0.0004790075799974,1.5572519302368164,0.1987509351068296,0.2030404718251682,13.04370431624736,352.7231473926063,62.62365239334964,6.795559128900403,1.1382860547838285,0.1098408390597085,0.2490564548074082,0.311438551042443,0.4552245984073058,0.0031232335487167,3.3169236456507685,1909166021.5053709,204.26755929037185,123.0382461257234,32.042681113207266,19.581761069310406,72.50471181095068,0.0032796095919067,0.003196382379123,0.0329387645320124,0.2345000889182246,44.03060531616211,1.2807641069380409,0.7804081439971924,0.4841336607933044,36.56349182128906,1.4305705723464803,78.64476386036962,1.9524849653244016,0.631366491317749,-1.0466012954711914,0.0882956878850102,0.0876807868480682,0.7630260467529297,1.3112285505984085,12.199260013297058,3.919208833118012,1.116435779112813,0.6689004650101877
28,28,28,28,28,7.288119326182908,0.0238206423819065,6.541697551839977,6.541697551839977,5.2780542318942025e-05,1.2550365924835205,0.1567332161331233,0.1927123907697131,15.680262989366051,440.93546793289306,75.86149803164041,7.315919878641337,1.125977822705203,0.2264556360600575,0.2430980995009113,0.2859008348694032,0.4084228499922754,0.0013389042569185,25.586112003247862,1062690591.4250528,69.85118351713221,56.12993541182512,26.217913095803578,18.18752627415375,41.88633462636688,0.0014277709416232,0.0013843531645731,0.0303595427873166,0.2351911959315867,130.30966186523438,0.9112470979667586,0.8538775444030762,0.8024085760116577,107.29314422607422,0.9736442154244628,77.41273100616016,1.999629020690918,0.7809857726097107,-0.6196740865707397,0.2628336755646817,0.1483113914728164,0.3077021598815918,1.6391197336757282,13.09961781369566,4.5755215743233055,1.2123384126792205,0.6165037164615681
29,29,29,29,29,7.502992861988188,0.0814661905169487,6.6612201544448615,6.6612201544448615,0.0007159149972721,1.3536581993103027,0.1438158947126924,0.1800137261345802,14.625147875843776,292.3534956205591,58.89318964882829,7.112374173273622,1.2441677832560094,0.021523243729689404,0.1768752676706273,0.2662054715669875,0.3907293712479018,0.0034649677871456,2.553379100245517,2376479344.0932407,60.229683597132045,53.718269386492,24.93393671746365,16.888231274937407,47.58449648620712,0.0037142911319811,0.0035253391168375,0.0272284359727979,0.2225268501235946,8.68290901184082,1.9659741193450413,0.486530601978302,0.229792907834053,5.478557586669922,2.1610836491634893,94.55852156057496,1.9299373626708984,0.4688216745853424,-1.4754638671875,0.2022587268993839,0.041139829903841,0.2327729225158691,0.4650137280251691,7.159194734172592,3.220610206338774,1.1150714866817424,0.6305053197658504
30,30,30,30,30,5.597733813940906,0.0164389312267303,6.742425745903523,6.742425745903523,0.0002014072304064,0.9748923778533936,1.242838310377782,0.560690852091906,5.283491214637949,33.81538709495812,10.766247569221456,3.4103656559422,1.4231595483554234,0.0427905999190479,0.4386424236381258,0.7181376754971851,0.8141333868093976,0.0005791042886796,7.092412464934594,126.97545657694997,0.909214795426705,7.859527866395308,7.673243447685737,6.578851467035338,29.915651269621105,0.0007293682528199,0.0007290835784772,0.1555938111296718,0.3447616355389303,12.596384048461914,1.505216037406044,0.4546938836574554,0.2044155597686767,7.100247859954834,1.5375847630984916,12.012320328542096,1.932734489440918,0.3055996894836426,-1.6777410507202148,0.2392197125256673,0.0591108538210392,0.0697735786437988,0.5195902699433422,0.4866495645193053,1.9024005970157327,1.4588833876329153,1.0874476508873168
31,31,31,31,31,7.409980511596029,0.010333246551454,6.991083653573129,6.991083653573129,0.0002739736755756,0.9078127145767212,0.4779511902928572,0.1115298414244359,5.680682737427306,83.90391024883628,15.642066929731811,3.736728416632443,1.2679610664626906,0.0081438050596758,0.1273835022497016,0.1662377386255328,0.2485047921704922,0.0002260906677916,3.425717795340161,3.822627213533616,0.2620745736665806,5.045580465954662,3.471464885420127,3.085852264521144,3.7158626848832856,0.0003235602363667,0.0003130620326607,0.0476629347499208,0.2157337189283966,12.596384048461914,1.505216037406044,0.4555101990699768,0.2086551040410995,7.100247859954834,1.5375847630984916,11.39630390143737,1.93138325214386,0.314188152551651,-1.6831769943237305,0.2032854209445585,0.0415296889841556,0.0726937770843505,0.500826238035031,0.1999439952648025,0.9512825236241752,0.5292772756323573,0.4514193273477764
32,32,32,32,32,7.404625497873192,0.0100459437817335,7.095057788841799,7.095057788841799,0.0002758375951543,1.012505292892456,0.4805234637269949,0.1123618447453462,5.73278185505935,91.2017220509848,15.849982829958996,3.745346473957584,1.260767462160398,0.0093392978889888,0.1294735540037939,0.1647691856516945,0.2473406010957014,0.0002277428602984,3.4581175694763218,3.946911215329481,0.325039903871511,5.518086936364399,3.494196547758852,3.1967334674415024,4.004130405668454,0.0003237348514649,0.0003115096334679,0.0478292037077751,0.2209893438288094,12.596384048461914,1.505216037406044,0.4653061330318451,0.2203654199838638,7.100247859954834,1.5375847630984916,3.9014373716632447,1.93204402923584,0.3413024544715881,-1.6725465059280396,0.2012320328542094,0.0406217612326145,0.1195230484008789,0.5096378065059038,0.2485146788528071,0.9731082308805884,0.5267349748496194,0.448297427773261
33,33,33,33,33,7.406284959990378,0.0154489148408174,6.315212152541413,6.315212152541413,0.0004866617009611,1.153136968612671,0.4689263092059438,0.0945930497398655,7.4863777553804125,159.8801130969865,18.046948433915368,4.887339521278426,1.6114834816610242,0.0103211011656381,0.098656112730619,0.1446229635805563,0.2313885931977012,0.0004263474497772,4.4446911611443785,6.350495972062315,1.6011700312462906,8.937969124658153,4.514707710027665,3.858516107709469,7.0726472346734015,0.0005587827976576,0.0005300605837454,0.0376278148621161,0.2213228081697886,12.596384048461914,1.505216037406044,0.46367347240448,0.2196821421384811,7.100247859954834,1.5375847630984916,3.0800821355236137,1.9318877458572388,0.3414976000785827,-1.6749697923660278,0.2012320328542094,0.0406217612326145,0.0988477230072021,0.5512489260145985,0.4896818294524874,0.8602107101311777,0.5846857482130249,0.4907203886073056
